date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:04:42	820694/820694	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Dec%202025%2020:34:41%20GMT	https://trucks.cardekho.com/	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/index.html	(from )
02:04:43	4630/4630	---MCZ	200	added ('OK')	application/json	etag:W/%221216-19aa65602b0%22	https://trucks.cardekho.com/manifest.json	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/manifest.json	(from https://trucks.cardekho.com/)
02:04:43	11/11	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%22b-EFiDB1U+dmqzx9Mo2UjcZ1SJPO8%22	https://truckcdn.cardekho.com/	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/truckcdn.cardekho.com/index.html	(from https://trucks.cardekho.com/)
02:04:43	1137/1137	---M--	200	added ('OK')	image/png	etag:%2224fd29290f1ab3b0e5fa66ca3b45d582%22	https://truckcdn.cardekho.com/pwa/logo.png	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/truckcdn.cardekho.com/pwa/logo.png	(from https://trucks.cardekho.com/)
02:04:43	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Dec%202025%2020:34:42%20GMT	https://www.googletagmanager.com/	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/www.googletagmanager.com/index.html	(from https://trucks.cardekho.com/)
02:04:43	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22aad19202ae590b3bd69a3888ef16edda%22	https://truckcdn.cardekho.com/pwa/favicon.ico	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/truckcdn.cardekho.com/pwa/favicon.ico	(from https://trucks.cardekho.com/)
02:04:43	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Dec%202025%2020:34:43%20GMT	https://www.google-analytics.com/	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/www.google-analytics.com/index.html	(from https://trucks.cardekho.com/)
02:04:44	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2003%20Dec%202025%2020:34:43%20GMT	https://connect.facebook.net/	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/connect.facebook.net/index.html	(from https://trucks.cardekho.com/)
02:04:44	610/610	---M--	200	added ('OK')	image/png	etag:W/%22262-eUBG0z3FJVQsSRlvq1Wndc2fUVY%22	https://truckcdn.cardekho.com/pwa/48.png	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/truckcdn.cardekho.com/pwa/48.png	(from https://trucks.cardekho.com/)
02:04:44	267857/267857	---MCZ	200	added ('OK')	application/javascript	etag:W/%2241651-19a4e13b9f8%22	https://trucks.cardekho.com/pwa-en/js/bundle/bundle.368da7b2a37ab36a4ba0.js	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/pwa-en/js/bundle/bundle.368da7b2a37ab36a4ba0.js	(from https://trucks.cardekho.com/)
02:04:44	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Dec%202025%2020:34:43%20GMT	https://www.googletagservices.com/	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/www.googletagservices.com/index.html	(from https://trucks.cardekho.com/)
02:04:44	145170/145170	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223712-19a4e13b9f8%22	https://trucks.cardekho.com/pwa-en/js/bundle/IndexPage.25c3e1c88dedb302ff87.js	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/pwa-en/js/bundle/IndexPage.25c3e1c88dedb302ff87.js	(from https://trucks.cardekho.com/)
02:04:44	317351/317351	---MCZ	200	added ('OK')	application/javascript	etag:W/%224d7a7-19aa6560698%22	https://trucks.cardekho.com/pwa-en/js/bundle/bundle.6bb29b3f3c14a0246925.js	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/pwa-en/js/bundle/bundle.6bb29b3f3c14a0246925.js	(from https://trucks.cardekho.com/)
02:04:44	96629/96629	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217975-19aa6560698%22	https://trucks.cardekho.com/pwa-en/js/bundle/bundle.a9458923d2ca8a6f6c70.js	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/pwa-en/js/bundle/bundle.a9458923d2ca8a6f6c70.js	(from https://trucks.cardekho.com/)
02:04:44	233137/233137	---MCZ	200	added ('OK')	application/javascript	etag:W/%2238eb1-19aa6560698%22	https://trucks.cardekho.com/pwa-en/js/bundle/LeadForm.5d8d3b9d8eaf46bf5442.js	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/pwa-en/js/bundle/LeadForm.5d8d3b9d8eaf46bf5442.js	(from https://trucks.cardekho.com/)
02:04:45	109677/109677	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ac6d-19a4e13b9f8%22	https://trucks.cardekho.com/pwa-en/js/bundle/cities.87ecf7ec07abee0c5211.js	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/pwa-en/js/bundle/cities.87ecf7ec07abee0c5211.js	(from https://trucks.cardekho.com/)
02:04:45	356409/356409	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257039-19aa6560698%22	https://trucks.cardekho.com/pwa-en/js/bundle/MyAccountPop.5dd9906219aee1be903f.js	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/pwa-en/js/bundle/MyAccountPop.5dd9906219aee1be903f.js	(from https://trucks.cardekho.com/)
02:04:45	5527/5527	---MCZ	200	added ('OK')	application/javascript	etag:W/%221597-19aa6560698%22	https://trucks.cardekho.com/pwa-en/js/lib/ie-polyfill.js	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/pwa-en/js/lib/ie-polyfill.js	(from https://trucks.cardekho.com/)
02:04:45	6899/6899	---MCZ	200	added ('OK')	application/javascript	etag:W/%221af3-19aa6560698%22	https://trucks.cardekho.com/pwa-en/js/lib/IntersectionObserver-polyfill.js	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/pwa-en/js/lib/IntersectionObserver-polyfill.js	(from https://trucks.cardekho.com/)
02:04:46	820559/820559	---MCZ	200	added ('OK')	text/css	etag:W/%22c854f-19aa6560698%22	https://trucks.cardekho.com/pwa-en/css/main-06418c2d.css	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/pwa-en/css/main-06418c2d.css	(from https://trucks.cardekho.com/)
02:04:46	45003/45003	---MCZ	200	added ('OK')	text/css	etag:W/%22afcb-19a4e13b610%22	https://trucks.cardekho.com/pwa-en/css/roboto_fonts_woff2.min.css	C:/Users/siddh/Documents/truckdekho/trucks_trucksdekho/trucks.cardekho.com/pwa-en/css/roboto_fonts_woff2.min.css	(from https://trucks.cardekho.com/)
